RESULTADO	PROGRAMA	CLASIFICACION	NPERSONAS	NIVELEDUC	OCUPADO	HOMBRE
.11549973	0	-8	4	0	0	0
-.067228474	0	-7	4	0	0	0
.02708281	0	-7	4	0	0	1
.72944617	0	-7	4	0	0	1
.045305986	0	-8	4	0	0	0
-.43539989	0	-8	4	1	0	0
-.17360334	0	-8	4	1	0	1
-.035034295	0	-8	4	1	0	1
.63153827	0	-9	5	0	0	1
.10212343	0	-9	5	0	0	0
.11820839	0	-9	5	0	0	1
-.22548769	0	-9	5	0	0	1
.0099179521	0	-8	5	0	0	0
-.32630605	0	-9	5	1	0	0
.24728291	0	-8	5	1	0	1
.13121313	0	-8	5	1	0	1
.2438519	0	-8	5	2	0	0
-.1014512	0	-8	5	2	0	0
.1696022	0	-7	5	2	0	1
1.9108669	0	-7	5	2	0	1
-.028782632	0	-8	5	2	0	0
-.32905746	0	-7	5	2	0	1
.47134784	0	-7	5	2	0	1
-.21348721	0	-9	6	0	0	0
-.021976238	0	-9	6	0	0	0
-.0027712293	0	-9	6	0	0	0
1.1555948	0	-10	6	0	0	0
-1.051797	0	-10	6	0	0	0
.049876347	0	-9	6	0	0	0
.043992449	0	-9	6	0	0	1
.026588541	0	-9	6	0	0	0
-.43597305	0	-9	6	0	0	1
.024440706	0	-9	6	0	0	0
-.084761709	0	-9	6	0	0	1
-.97154367	0	-9	6	1	0	1
-.028868197	0	-9	6	1	0	1
.14038388	0	-9	6	1	0	0
-.31748727	0	-9	6	2	0	1
.0090912879	0	-9	6	2	0	1
.039703596	0	-9	6	2	0	0
-.28070983	0	-8	6	3	0	0
.22610307	0	-8	6	3	0	0
-.40533656	0	-9	6	3	0	0
-.1843147	0	-8	6	4	0	1
-.025974017	0	-8	6	4	0	1
.70665359	0	-10	7	0	0	1
-.35965475	0	-10	7	0	0	0
.057077017	0	-10	7	0	0	0
.65261602	0	-10	7	0	0	1
.016048178	0	-10	7	0	0	1
-.10693638	0	-10	7	0	0	1
-.78927469	0	-10	7	0	0	0
-.22484845	0	-10	7	0	0	0
-.23204391	0	-10	7	0	0	1
-.026918236	0	-10	7	0	0	1
